	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	InsertionSort	50	1	0.0010030269622802734
1	BubbleSort	50	1	0.0
2	SelectionSort	50	1	0.0
3	ShellSort	50	1	0.0
4	InsertionSort	50	2	0.0009987354278564453
5	BubbleSort	50	2	0.0
6	SelectionSort	50	2	0.0
7	ShellSort	50	2	0.0
8	InsertionSort	50	3	0.0009996891021728516
9	BubbleSort	50	3	0.0
10	SelectionSort	50	3	0.0010013580322265625
11	ShellSort	50	3	0.0
12	InsertionSort	100	1	0.0009996891021728516
13	BubbleSort	100	1	0.0009980201721191406
14	SelectionSort	100	1	0.0009992122650146484
15	ShellSort	100	1	0.0
16	InsertionSort	100	2	0.00099945068359375
17	BubbleSort	100	2	0.0019989013671875
18	SelectionSort	100	2	0.0
19	ShellSort	100	2	0.0
20	InsertionSort	100	3	0.00099945068359375
21	BubbleSort	100	3	0.00099945068359375
22	SelectionSort	100	3	0.0009989738464355469
23	ShellSort	100	3	0.0
24	InsertionSort	250	1	0.00699615478515625
25	BubbleSort	250	1	0.01099252700805664
26	SelectionSort	250	1	0.00299835205078125
27	ShellSort	250	1	0.0009996891021728516
28	InsertionSort	250	2	0.007993698120117188
29	BubbleSort	250	2	0.009996891021728516
30	SelectionSort	250	2	0.0029952526092529297
31	ShellSort	250	2	0.00099945068359375
32	InsertionSort	250	3	0.007994651794433594
33	BubbleSort	250	3	0.009991884231567383
34	SelectionSort	250	3	0.0009996891021728516
35	ShellSort	250	3	0.0009992122650146484
36	InsertionSort	500	1	0.026982545852661133
37	BubbleSort	500	1	0.03498196601867676
38	SelectionSort	500	1	0.007995128631591797
39	ShellSort	500	1	0.0019989013671875
40	InsertionSort	500	2	0.023984909057617188
41	BubbleSort	500	2	0.031980276107788086
42	SelectionSort	500	2	0.007995128631591797
43	ShellSort	500	2	0.0019986629486083984
44	InsertionSort	500	3	0.02598738670349121
45	BubbleSort	500	3	0.03397846221923828
46	SelectionSort	500	3	0.007995367050170898
47	ShellSort	500	3	0.001998424530029297
48	InsertionSort	1000	1	0.10193252563476562
49	BubbleSort	1000	1	0.12992310523986816
50	SelectionSort	1000	1	0.034978389739990234
51	ShellSort	1000	1	0.003997325897216797
52	InsertionSort	1000	2	0.09994077682495117
53	BubbleSort	1000	2	0.1329174041748047
54	SelectionSort	1000	2	0.033978939056396484
55	ShellSort	1000	2	0.004996776580810547
56	InsertionSort	1000	3	0.11492586135864258
57	BubbleSort	1000	3	0.15190863609313965
58	SelectionSort	1000	3	0.03497505187988281
59	ShellSort	1000	3	0.004996538162231445
