	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	MergeSort	2000	1	0.008087635040283203
1	MergeIterativo	2000	1	0.009676933288574219
2	MergeThree	2000	1	0.0077974796295166016
3	MergeOPT	2000	1	0.0074367523193359375
4	quicksortIterativo	2000	1	0.003955841064453125
5	Quicksort	2000	1	0.12772846221923828
6	RdmQuicksort	2000	1	0.011790037155151367
7	MergeSort	2000	2	0.00752568244934082
8	MergeIterativo	2000	2	0.009560585021972656
9	MergeThree	2000	2	0.00749969482421875
10	MergeOPT	2000	2	0.0073604583740234375
11	quicksortIterativo	2000	2	0.003770589828491211
12	Quicksort	2000	2	0.1099236011505127
13	RdmQuicksort	2000	2	0.012239933013916016
14	MergeSort	2000	3	0.007410764694213867
15	MergeIterativo	2000	3	0.009865522384643555
16	MergeThree	2000	3	0.007406949996948242
17	MergeOPT	2000	3	0.007592916488647461
18	quicksortIterativo	2000	3	0.003794431686401367
19	Quicksort	2000	3	0.15230345726013184
20	RdmQuicksort	2000	3	0.012634754180908203
21	MergeSort	4000	1	0.01583695411682129
22	MergeIterativo	4000	1	0.020966768264770508
23	MergeThree	4000	1	0.015868425369262695
24	MergeOPT	4000	1	0.015732288360595703
25	quicksortIterativo	4000	1	0.0076904296875
26	Quicksort	4000	1	0.48731327056884766
27	RdmQuicksort	4000	1	0.03337740898132324
28	MergeSort	4000	2	0.015680551528930664
29	MergeIterativo	4000	2	0.020997285842895508
30	MergeThree	4000	2	0.015676021575927734
31	MergeOPT	4000	2	0.015533685684204102
32	quicksortIterativo	4000	2	0.007623434066772461
33	Quicksort	4000	2	0.4694230556488037
34	RdmQuicksort	4000	2	0.032259464263916016
35	MergeSort	4000	3	0.015677452087402344
36	MergeIterativo	4000	3	0.02110576629638672
37	MergeThree	4000	3	0.015552043914794922
38	MergeOPT	4000	3	0.015747785568237305
39	quicksortIterativo	4000	3	0.007604360580444336
40	Quicksort	4000	3	0.41544485092163086
41	RdmQuicksort	4000	3	0.03272700309753418
42	MergeSort	6000	1	0.027234554290771484
43	MergeIterativo	6000	1	0.032834768295288086
44	MergeThree	6000	1	0.027214527130126953
45	MergeOPT	6000	1	0.027077436447143555
46	quicksortIterativo	6000	1	0.011431217193603516
47	Quicksort	6000	1	0.8109526634216309
48	RdmQuicksort	6000	1	0.060724496841430664
49	MergeSort	6000	2	0.027226924896240234
50	MergeIterativo	6000	2	0.03303718566894531
51	MergeThree	6000	2	0.0274965763092041
52	MergeOPT	6000	2	0.027364492416381836
53	quicksortIterativo	6000	2	0.011246442794799805
54	Quicksort	6000	2	0.9950253963470459
55	RdmQuicksort	6000	2	0.06337642669677734
56	MergeSort	6000	3	0.027576923370361328
57	MergeIterativo	6000	3	0.032788991928100586
58	MergeThree	6000	3	0.027411937713623047
59	MergeOPT	6000	3	0.0273284912109375
60	quicksortIterativo	6000	3	0.011481523513793945
61	Quicksort	6000	3	0.974318265914917
62	RdmQuicksort	6000	3	0.06045413017272949
63	MergeSort	8000	1	0.03336811065673828
64	MergeIterativo	8000	1	0.046112775802612305
65	MergeThree	8000	1	0.033316612243652344
66	MergeOPT	8000	1	0.03328227996826172
67	quicksortIterativo	8000	1	0.01507711410522461
68	Quicksort	8000	1	1.8118958473205566
69	RdmQuicksort	8000	1	0.0983893871307373
70	MergeSort	8000	2	0.03297114372253418
71	MergeIterativo	8000	2	0.04496264457702637
72	MergeThree	8000	2	0.03302597999572754
73	MergeOPT	8000	2	0.033606529235839844
74	quicksortIterativo	8000	2	0.015219449996948242
75	Quicksort	8000	2	2.4053475856781006
76	RdmQuicksort	8000	2	0.1002206802368164
77	MergeSort	8000	3	0.03505539894104004
78	MergeIterativo	8000	3	0.04636740684509277
79	MergeThree	8000	3	0.03310656547546387
80	MergeOPT	8000	3	0.03320932388305664
81	quicksortIterativo	8000	3	0.015185832977294922
82	Quicksort	8000	3	1.8762226104736328
83	RdmQuicksort	8000	3	0.10096096992492676
84	MergeSort	10000	1	0.044767141342163086
85	MergeIterativo	10000	1	0.058075904846191406
86	MergeThree	10000	1	0.04424023628234863
87	MergeOPT	10000	1	0.044476985931396484
88	quicksortIterativo	10000	1	0.018949031829833984
89	Quicksort	10000	1	2.7527036666870117
90	RdmQuicksort	10000	1	0.14378857612609863
91	MergeSort	10000	2	0.04445624351501465
92	MergeIterativo	10000	2	0.05841779708862305
93	MergeThree	10000	2	0.044576406478881836
94	MergeOPT	10000	2	0.044499874114990234
95	quicksortIterativo	10000	2	0.01900315284729004
96	Quicksort	10000	2	2.8149070739746094
97	RdmQuicksort	10000	2	0.14581847190856934
98	MergeSort	10000	3	0.044920921325683594
99	MergeIterativo	10000	3	0.0583186149597168
100	MergeThree	10000	3	0.04484152793884277
101	MergeOPT	10000	3	0.04453611373901367
102	quicksortIterativo	10000	3	0.01912975311279297
103	Quicksort	10000	3	2.4117414951324463
104	RdmQuicksort	10000	3	0.14403390884399414
