	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	MergeSort	2000	1	0.010335922241210938
1	MergeIterativo	2000	1	0.00982522964477539
2	MergeThree	2000	1	0.00972747802734375
3	MergeOPT	2000	1	0.009676694869995117
4	quicksortIterativo	2000	1	0.008767366409301758
5	Quicksort	2000	1	0.3130221366882324
6	RdmQuicksort	2000	1	0.008157014846801758
7	MergeSort	2000	2	0.009733200073242188
8	MergeIterativo	2000	2	0.009799003601074219
9	MergeThree	2000	2	0.009669780731201172
10	MergeOPT	2000	2	0.009785175323486328
11	quicksortIterativo	2000	2	0.008782386779785156
12	Quicksort	2000	2	0.3076443672180176
13	RdmQuicksort	2000	2	0.0072939395904541016
14	MergeSort	2000	3	0.009853124618530273
15	MergeIterativo	2000	3	0.00991201400756836
16	MergeThree	2000	3	0.009616374969482422
17	MergeOPT	2000	3	0.009836912155151367
18	quicksortIterativo	2000	3	0.008767843246459961
19	Quicksort	2000	3	0.30318522453308105
20	RdmQuicksort	2000	3	0.007471323013305664
21	MergeSort	4000	1	0.020528793334960938
22	MergeIterativo	4000	1	0.021217823028564453
23	MergeThree	4000	1	0.020709991455078125
24	MergeOPT	4000	1	0.020555734634399414
25	quicksortIterativo	4000	1	0.019497394561767578
26	Quicksort	4000	1	1.2205393314361572
27	RdmQuicksort	4000	1	0.01649022102355957
28	MergeSort	4000	2	0.020546674728393555
29	MergeIterativo	4000	2	0.02130746841430664
30	MergeThree	4000	2	0.020587921142578125
31	MergeOPT	4000	2	0.020528078079223633
32	quicksortIterativo	4000	2	0.019405603408813477
33	Quicksort	4000	2	1.2213470935821533
34	RdmQuicksort	4000	2	0.016238689422607422
35	MergeSort	4000	3	0.020534753799438477
36	MergeIterativo	4000	3	0.021416425704956055
37	MergeThree	4000	3	0.020622730255126953
38	MergeOPT	4000	3	0.0204927921295166
39	quicksortIterativo	4000	3	0.019239187240600586
40	Quicksort	4000	3	1.2568438053131104
41	RdmQuicksort	4000	3	0.0171051025390625
42	MergeSort	6000	1	0.034889936447143555
43	MergeIterativo	6000	1	0.033260345458984375
44	MergeThree	6000	1	0.03474116325378418
45	MergeOPT	6000	1	0.03467273712158203
46	quicksortIterativo	6000	1	0.030159711837768555
47	Quicksort	6000	1	2.7481324672698975
48	RdmQuicksort	6000	1	0.025913476943969727
49	MergeSort	6000	2	0.035356998443603516
50	MergeIterativo	6000	2	0.03327035903930664
51	MergeThree	6000	2	0.03512001037597656
52	MergeOPT	6000	2	0.0350797176361084
53	quicksortIterativo	6000	2	0.03028273582458496
54	Quicksort	6000	2	2.7503669261932373
55	RdmQuicksort	6000	2	0.025605440139770508
56	MergeSort	6000	3	0.03490161895751953
57	MergeIterativo	6000	3	0.033496856689453125
58	MergeThree	6000	3	0.03523731231689453
59	MergeOPT	6000	3	0.0351710319519043
60	quicksortIterativo	6000	3	0.030371904373168945
61	Quicksort	6000	3	2.73624849319458
62	RdmQuicksort	6000	3	0.024798870086669922
63	MergeSort	8000	1	0.04333376884460449
64	MergeIterativo	8000	1	0.045925140380859375
65	MergeThree	8000	1	0.04350757598876953
66	MergeOPT	8000	1	0.04327893257141113
67	quicksortIterativo	8000	1	0.041913509368896484
68	Quicksort	8000	1	4.917212963104248
69	RdmQuicksort	8000	1	0.03463912010192871
70	MergeSort	8000	2	0.04331779479980469
71	MergeIterativo	8000	2	0.0461268424987793
72	MergeThree	8000	2	0.04319882392883301
73	MergeOPT	8000	2	0.043318986892700195
74	quicksortIterativo	8000	2	0.041613101959228516
75	Quicksort	8000	2	4.915524959564209
76	RdmQuicksort	8000	2	0.03385448455810547
77	MergeSort	8000	3	0.043615102767944336
78	MergeIterativo	8000	3	0.04534626007080078
79	MergeThree	8000	3	0.04366731643676758
80	MergeOPT	8000	3	0.04471707344055176
81	quicksortIterativo	8000	3	0.04995250701904297
82	Quicksort	8000	3	4.90443754196167
83	RdmQuicksort	8000	3	0.03580498695373535
84	MergeSort	10000	1	0.06194281578063965
85	MergeIterativo	10000	1	0.05993962287902832
86	MergeThree	10000	1	0.0602874755859375
87	MergeOPT	10000	1	0.06497430801391602
88	quicksortIterativo	10000	1	0.053612709045410156
89	Quicksort	10000	1	7.713297367095947
90	RdmQuicksort	10000	1	0.04481673240661621
91	MergeSort	10000	2	0.05817985534667969
92	MergeIterativo	10000	2	0.0596776008605957
93	MergeThree	10000	2	0.05832219123840332
94	MergeOPT	10000	2	0.05841374397277832
95	quicksortIterativo	10000	2	0.05270504951477051
96	Quicksort	10000	2	7.681217908859253
97	RdmQuicksort	10000	2	0.04548788070678711
98	MergeSort	10000	3	0.05829620361328125
99	MergeIterativo	10000	3	0.05936074256896973
100	MergeThree	10000	3	0.058345794677734375
101	MergeOPT	10000	3	0.0579378604888916
102	quicksortIterativo	10000	3	0.053305625915527344
103	Quicksort	10000	3	7.676506519317627
104	RdmQuicksort	10000	3	0.046156883239746094
