	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	MergeSort	2000	1	0.008081197738647461
1	MergeIterativo	2000	1	0.011058807373046875
2	MergeThree	2000	1	0.007840394973754883
3	MergeOPT	2000	1	0.007848024368286133
4	quicksortIterativo	2000	1	0.010251760482788086
5	Quicksort	2000	1	0.00537562370300293
6	RdmQuicksort	2000	1	0.007637739181518555
7	MergeSort	2000	2	0.00825643539428711
8	MergeIterativo	2000	2	0.01105189323425293
9	MergeThree	2000	2	0.00771784782409668
10	MergeOPT	2000	2	0.007779836654663086
11	quicksortIterativo	2000	2	0.009264945983886719
12	Quicksort	2000	2	0.005092620849609375
13	RdmQuicksort	2000	2	0.007704496383666992
14	MergeSort	2000	3	0.007812023162841797
15	MergeIterativo	2000	3	0.010817527770996094
16	MergeThree	2000	3	0.007794380187988281
17	MergeOPT	2000	3	0.007754087448120117
18	quicksortIterativo	2000	3	0.010066986083984375
19	Quicksort	2000	3	0.005970001220703125
20	RdmQuicksort	2000	3	0.0077173709869384766
21	MergeSort	4000	1	0.01634812355041504
22	MergeIterativo	4000	1	0.024065017700195312
23	MergeThree	4000	1	0.016315698623657227
24	MergeOPT	4000	1	0.016360998153686523
25	quicksortIterativo	4000	1	0.021579504013061523
26	Quicksort	4000	1	0.011178731918334961
27	RdmQuicksort	4000	1	0.016412734985351562
28	MergeSort	4000	2	0.016399145126342773
29	MergeIterativo	4000	2	0.023823022842407227
30	MergeThree	4000	2	0.0164945125579834
31	MergeOPT	4000	2	0.01632523536682129
32	quicksortIterativo	4000	2	0.020627498626708984
33	Quicksort	4000	2	0.012341976165771484
34	RdmQuicksort	4000	2	0.017200231552124023
35	MergeSort	4000	3	0.01628708839416504
36	MergeIterativo	4000	3	0.03009796142578125
37	MergeThree	4000	3	0.01631617546081543
38	MergeOPT	4000	3	0.01628565788269043
39	quicksortIterativo	4000	3	0.020445823669433594
40	Quicksort	4000	3	0.011963367462158203
41	RdmQuicksort	4000	3	0.01588273048400879
42	MergeSort	6000	1	0.02811598777770996
43	MergeIterativo	6000	1	0.03773236274719238
44	MergeThree	6000	1	0.02813124656677246
45	MergeOPT	6000	1	0.027869701385498047
46	quicksortIterativo	6000	1	0.035805463790893555
47	Quicksort	6000	1	0.01983165740966797
48	RdmQuicksort	6000	1	0.030368804931640625
49	MergeSort	6000	2	0.028386354446411133
50	MergeIterativo	6000	2	0.03832077980041504
51	MergeThree	6000	2	0.028423547744750977
52	MergeOPT	6000	2	0.028337478637695312
53	quicksortIterativo	6000	2	0.033911943435668945
54	Quicksort	6000	2	0.01749110221862793
55	RdmQuicksort	6000	2	0.025788068771362305
56	MergeSort	6000	3	0.028186321258544922
57	MergeIterativo	6000	3	0.0373692512512207
58	MergeThree	6000	3	0.028171300888061523
59	MergeOPT	6000	3	0.02814483642578125
60	quicksortIterativo	6000	3	0.03290891647338867
61	Quicksort	6000	3	0.017571687698364258
62	RdmQuicksort	6000	3	0.024408340454101562
63	MergeSort	8000	1	0.03519105911254883
64	MergeIterativo	8000	1	0.05135011672973633
65	MergeThree	8000	1	0.03450202941894531
66	MergeOPT	8000	1	0.034876108169555664
67	quicksortIterativo	8000	1	0.06269192695617676
68	Quicksort	8000	1	0.04898786544799805
69	RdmQuicksort	8000	1	0.06167912483215332
70	MergeSort	8000	2	0.061058759689331055
71	MergeIterativo	8000	2	0.05425620079040527
72	MergeThree	8000	2	0.03447127342224121
73	MergeOPT	8000	2	0.03495430946350098
74	quicksortIterativo	8000	2	0.04884052276611328
75	Quicksort	8000	2	0.02510213851928711
76	RdmQuicksort	8000	2	0.03570199012756348
77	MergeSort	8000	3	0.03468918800354004
78	MergeIterativo	8000	3	0.05121421813964844
79	MergeThree	8000	3	0.03461933135986328
80	MergeOPT	8000	3	0.034722328186035156
81	quicksortIterativo	8000	3	0.04358386993408203
82	Quicksort	8000	3	0.024578571319580078
83	RdmQuicksort	8000	3	0.0352330207824707
84	MergeSort	10000	1	0.04625701904296875
85	MergeIterativo	10000	1	0.06675601005554199
86	MergeThree	10000	1	0.04608511924743652
87	MergeOPT	10000	1	0.046315670013427734
88	quicksortIterativo	10000	1	0.05776023864746094
89	Quicksort	10000	1	0.03195476531982422
90	RdmQuicksort	10000	1	0.04271340370178223
91	MergeSort	10000	2	0.04644346237182617
92	MergeIterativo	10000	2	0.06686186790466309
93	MergeThree	10000	2	0.04602503776550293
94	MergeOPT	10000	2	0.04608798027038574
95	quicksortIterativo	10000	2	0.05944681167602539
96	Quicksort	10000	2	0.030840635299682617
97	RdmQuicksort	10000	2	0.045096397399902344
98	MergeSort	10000	3	0.0460050106048584
99	MergeIterativo	10000	3	0.06649494171142578
100	MergeThree	10000	3	0.0460813045501709
101	MergeOPT	10000	3	0.045851945877075195
102	quicksortIterativo	10000	3	0.05564522743225098
103	Quicksort	10000	3	0.030364274978637695
104	RdmQuicksort	10000	3	0.04398655891418457
