	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	MergeSort	2000	1	0.00812840461730957
1	MergeIterativo	2000	1	0.009373664855957031
2	MergeThree	2000	1	0.007816314697265625
3	MergeOPT	2000	1	0.00755000114440918
4	quicksortIterativo	2000	1	0.00743412971496582
5	Quicksort	2000	1	0.4235110282897949
6	RdmQuicksort	2000	1	0.0074405670166015625
7	MergeSort	2000	2	0.007493495941162109
8	MergeIterativo	2000	2	0.009303092956542969
9	MergeThree	2000	2	0.007482051849365234
10	MergeOPT	2000	2	0.007470846176147461
11	quicksortIterativo	2000	2	0.0075495243072509766
12	Quicksort	2000	2	0.41904139518737793
13	RdmQuicksort	2000	2	0.00806736946105957
14	MergeSort	2000	3	0.007494211196899414
15	MergeIterativo	2000	3	0.009337902069091797
16	MergeThree	2000	3	0.0075948238372802734
17	MergeOPT	2000	3	0.0077342987060546875
18	quicksortIterativo	2000	3	0.007374763488769531
19	Quicksort	2000	3	0.42449164390563965
20	RdmQuicksort	2000	3	0.007529497146606445
21	MergeSort	4000	1	0.01605534553527832
22	MergeIterativo	4000	1	0.020087003707885742
23	MergeThree	4000	1	0.01601433753967285
24	MergeOPT	4000	1	0.016011953353881836
25	quicksortIterativo	4000	1	0.016274213790893555
26	Quicksort	4000	1	1.7092208862304688
27	RdmQuicksort	4000	1	0.02290940284729004
28	MergeSort	4000	2	0.0160520076751709
29	MergeIterativo	4000	2	0.022332191467285156
30	MergeThree	4000	2	0.018369674682617188
31	MergeOPT	4000	2	0.016191720962524414
32	quicksortIterativo	4000	2	0.016410350799560547
33	Quicksort	4000	2	1.6941802501678467
34	RdmQuicksort	4000	2	0.01544189453125
35	MergeSort	4000	3	0.01598358154296875
36	MergeIterativo	4000	3	0.02021503448486328
37	MergeThree	4000	3	0.015886783599853516
38	MergeOPT	4000	3	0.0158693790435791
39	quicksortIterativo	4000	3	0.016360759735107422
40	Quicksort	4000	3	1.7059659957885742
41	RdmQuicksort	4000	3	0.01532888412475586
42	MergeSort	6000	1	0.027438879013061523
43	MergeIterativo	6000	1	0.031745195388793945
44	MergeThree	6000	1	0.0275118350982666
45	MergeOPT	6000	1	0.027516841888427734
46	quicksortIterativo	6000	1	0.025719404220581055
47	Quicksort	6000	1	3.8876535892486572
48	RdmQuicksort	6000	1	0.02679920196533203
49	MergeSort	6000	2	0.028069496154785156
50	MergeIterativo	6000	2	0.03263664245605469
51	MergeThree	6000	2	0.02788996696472168
52	MergeOPT	6000	2	0.027612686157226562
53	quicksortIterativo	6000	2	0.02609872817993164
54	Quicksort	6000	2	3.884629487991333
55	RdmQuicksort	6000	2	0.025481700897216797
56	MergeSort	6000	3	0.02792811393737793
57	MergeIterativo	6000	3	0.03202652931213379
58	MergeThree	6000	3	0.027677536010742188
59	MergeOPT	6000	3	0.02801799774169922
60	quicksortIterativo	6000	3	0.0260617733001709
61	Quicksort	6000	3	3.9800236225128174
62	RdmQuicksort	6000	3	0.02445507049560547
63	MergeSort	8000	1	0.03384685516357422
64	MergeIterativo	8000	1	0.043469905853271484
65	MergeThree	8000	1	0.0337986946105957
66	MergeOPT	8000	1	0.03981637954711914
67	quicksortIterativo	8000	1	0.036122798919677734
68	Quicksort	8000	1	7.009577035903931
69	RdmQuicksort	8000	1	0.03320956230163574
70	MergeSort	8000	2	0.03385806083679199
71	MergeIterativo	8000	2	0.04356551170349121
72	MergeThree	8000	2	0.033776283264160156
73	MergeOPT	8000	2	0.033821821212768555
74	quicksortIterativo	8000	2	0.03597688674926758
75	Quicksort	8000	2	6.965506315231323
76	RdmQuicksort	8000	2	0.03374481201171875
77	MergeSort	8000	3	0.03388094902038574
78	MergeIterativo	8000	3	0.043752193450927734
79	MergeThree	8000	3	0.03381514549255371
80	MergeOPT	8000	3	0.033893585205078125
81	quicksortIterativo	8000	3	0.035826683044433594
82	Quicksort	8000	3	6.9801108837127686
83	RdmQuicksort	8000	3	0.03252744674682617
84	MergeSort	10000	1	0.045641422271728516
85	MergeIterativo	10000	1	0.05733609199523926
86	MergeThree	10000	1	0.04670381546020508
87	MergeOPT	10000	1	0.045204877853393555
88	quicksortIterativo	10000	1	0.04584789276123047
89	Quicksort	10000	1	10.74210786819458
90	RdmQuicksort	10000	1	0.041472434997558594
91	MergeSort	10000	2	0.04510688781738281
92	MergeIterativo	10000	2	0.05654549598693848
93	MergeThree	10000	2	0.045271873474121094
94	MergeOPT	10000	2	0.04523015022277832
95	quicksortIterativo	10000	2	0.046311140060424805
96	Quicksort	10000	2	10.8022141456604
97	RdmQuicksort	10000	2	0.044440269470214844
98	MergeSort	10000	3	0.04569268226623535
99	MergeIterativo	10000	3	0.056964874267578125
100	MergeThree	10000	3	0.04539680480957031
101	MergeOPT	10000	3	0.045551300048828125
102	quicksortIterativo	10000	3	0.04566216468811035
103	Quicksort	10000	3	10.885940074920654
104	RdmQuicksort	10000	3	0.041469573974609375
