	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	MergeSort	2000	1	0.008170843124389648
1	MergeIterativo	2000	1	0.009264469146728516
2	MergeThree	2000	1	0.007834434509277344
3	MergeOPT	2000	1	0.00751805305480957
4	quicksortIterativo	2000	1	0.004239797592163086
5	Quicksort	2000	1	0.4189262390136719
6	RdmQuicksort	2000	1	0.011831521987915039
7	MergeSort	2000	2	0.007448911666870117
8	MergeIterativo	2000	2	0.009321928024291992
9	MergeThree	2000	2	0.007454633712768555
10	MergeOPT	2000	2	0.007911443710327148
11	quicksortIterativo	2000	2	0.003807544708251953
12	Quicksort	2000	2	0.418964147567749
13	RdmQuicksort	2000	2	0.012176990509033203
14	MergeSort	2000	3	0.007536411285400391
15	MergeIterativo	2000	3	0.009407520294189453
16	MergeThree	2000	3	0.007501125335693359
17	MergeOPT	2000	3	0.007642269134521484
18	quicksortIterativo	2000	3	0.003780364990234375
19	Quicksort	2000	3	0.4125218391418457
20	RdmQuicksort	2000	3	0.01218557357788086
21	MergeSort	4000	1	0.015837669372558594
22	MergeIterativo	4000	1	0.019892215728759766
23	MergeThree	4000	1	0.01586318016052246
24	MergeOPT	4000	1	0.0158693790435791
25	quicksortIterativo	4000	1	0.0076215267181396484
26	Quicksort	4000	1	1.710578441619873
27	RdmQuicksort	4000	1	0.03251290321350098
28	MergeSort	4000	2	0.015748262405395508
29	MergeIterativo	4000	2	0.020089387893676758
30	MergeThree	4000	2	0.015676498413085938
31	MergeOPT	4000	2	0.01573491096496582
32	quicksortIterativo	4000	2	0.007683753967285156
33	Quicksort	4000	2	1.67189359664917
34	RdmQuicksort	4000	2	0.03234100341796875
35	MergeSort	4000	3	0.015855073928833008
36	MergeIterativo	4000	3	0.02008986473083496
37	MergeThree	4000	3	0.015878677368164062
38	MergeOPT	4000	3	0.01582622528076172
39	quicksortIterativo	4000	3	0.00740361213684082
40	Quicksort	4000	3	1.6665310859680176
41	RdmQuicksort	4000	3	0.032263994216918945
42	MergeSort	6000	1	0.02778935432434082
43	MergeIterativo	6000	1	0.03270912170410156
44	MergeThree	6000	1	0.028087139129638672
45	MergeOPT	6000	1	0.030686616897583008
46	quicksortIterativo	6000	1	0.011336088180541992
47	Quicksort	6000	1	3.813800096511841
48	RdmQuicksort	6000	1	0.06090593338012695
49	MergeSort	6000	2	0.02769303321838379
50	MergeIterativo	6000	2	0.03171801567077637
51	MergeThree	6000	2	0.027344942092895508
52	MergeOPT	6000	2	0.034795522689819336
53	quicksortIterativo	6000	2	0.011277198791503906
54	Quicksort	6000	2	3.7711069583892822
55	RdmQuicksort	6000	2	0.06201338768005371
56	MergeSort	6000	3	0.027611970901489258
57	MergeIterativo	6000	3	0.03223013877868652
58	MergeThree	6000	3	0.027680635452270508
59	MergeOPT	6000	3	0.027419090270996094
60	quicksortIterativo	6000	3	0.013750791549682617
61	Quicksort	6000	3	3.803515911102295
62	RdmQuicksort	6000	3	0.06490802764892578
63	MergeSort	8000	1	0.03302407264709473
64	MergeIterativo	8000	1	0.04394102096557617
65	MergeThree	8000	1	0.03526639938354492
66	MergeOPT	8000	1	0.036289215087890625
67	quicksortIterativo	8000	1	0.015033245086669922
68	Quicksort	8000	1	6.751124382019043
69	RdmQuicksort	8000	1	0.09744811058044434
70	MergeSort	8000	2	0.03371477127075195
71	MergeIterativo	8000	2	0.04316830635070801
72	MergeThree	8000	2	0.036434173583984375
73	MergeOPT	8000	2	0.03346848487854004
74	quicksortIterativo	8000	2	0.015164852142333984
75	Quicksort	8000	2	6.725887060165405
76	RdmQuicksort	8000	2	0.09859275817871094
77	MergeSort	8000	3	0.035468339920043945
78	MergeIterativo	8000	3	0.04336881637573242
79	MergeThree	8000	3	0.037323713302612305
80	MergeOPT	8000	3	0.032926082611083984
81	quicksortIterativo	8000	3	0.014974594116210938
82	Quicksort	8000	3	6.712387800216675
83	RdmQuicksort	8000	3	0.09880876541137695
84	MergeSort	10000	1	0.04459214210510254
85	MergeIterativo	10000	1	0.0601191520690918
86	MergeThree	10000	1	0.04453134536743164
87	MergeOPT	10000	1	0.0444636344909668
88	quicksortIterativo	10000	1	0.01878523826599121
89	Quicksort	10000	1	10.530150175094604
90	RdmQuicksort	10000	1	0.14463257789611816
91	MergeSort	10000	2	0.044775962829589844
92	MergeIterativo	10000	2	0.05667424201965332
93	MergeThree	10000	2	0.04477643966674805
94	MergeOPT	10000	2	0.04490971565246582
95	quicksortIterativo	10000	2	0.027947425842285156
96	Quicksort	10000	2	10.587981700897217
97	RdmQuicksort	10000	2	0.1434943675994873
98	MergeSort	10000	3	0.04499459266662598
99	MergeIterativo	10000	3	0.05630040168762207
100	MergeThree	10000	3	0.044884681701660156
101	MergeOPT	10000	3	0.045088768005371094
102	quicksortIterativo	10000	3	0.019063711166381836
103	Quicksort	10000	3	10.516139507293701
104	RdmQuicksort	10000	3	0.14363336563110352
