	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	MergeSort	2000	1	0.010966062545776367
1	MergeIterativo	2000	1	0.010603189468383789
2	MergeThree	2000	1	0.009806394577026367
3	MergeOPT	2000	1	0.010592460632324219
4	quicksortIterativo	2000	1	0.008901357650756836
5	Quicksort	2000	1	0.4589250087738037
6	RdmQuicksort	2000	1	0.008108854293823242
7	MergeSort	2000	2	0.009614229202270508
8	MergeIterativo	2000	2	0.009561538696289062
9	MergeThree	2000	2	0.009686946868896484
10	MergeOPT	2000	2	0.009677648544311523
11	quicksortIterativo	2000	2	0.008936166763305664
12	Quicksort	2000	2	0.4562695026397705
13	RdmQuicksort	2000	2	0.007565975189208984
14	MergeSort	2000	3	0.00964808464050293
15	MergeIterativo	2000	3	0.009588003158569336
16	MergeThree	2000	3	0.009860992431640625
17	MergeOPT	2000	3	0.009601116180419922
18	quicksortIterativo	2000	3	0.008958101272583008
19	Quicksort	2000	3	0.4597768783569336
20	RdmQuicksort	2000	3	0.012178421020507812
21	MergeSort	4000	1	0.020835161209106445
22	MergeIterativo	4000	1	0.023935317993164062
23	MergeThree	4000	1	0.02073216438293457
24	MergeOPT	4000	1	0.023021936416625977
25	quicksortIterativo	4000	1	0.019282102584838867
26	Quicksort	4000	1	1.81211519241333
27	RdmQuicksort	4000	1	0.017076492309570312
28	MergeSort	4000	2	0.020760297775268555
29	MergeIterativo	4000	2	0.020488262176513672
30	MergeThree	4000	2	0.020673274993896484
31	MergeOPT	4000	2	0.023503541946411133
32	quicksortIterativo	4000	2	0.0197145938873291
33	Quicksort	4000	2	1.8100993633270264
34	RdmQuicksort	4000	2	0.01707291603088379
35	MergeSort	4000	3	0.020699739456176758
36	MergeIterativo	4000	3	0.020578622817993164
37	MergeThree	4000	3	0.020727872848510742
38	MergeOPT	4000	3	0.02060675621032715
39	quicksortIterativo	4000	3	0.019140005111694336
40	Quicksort	4000	3	1.826841115951538
41	RdmQuicksort	4000	3	0.01595139503479004
42	MergeSort	6000	1	0.0364534854888916
43	MergeIterativo	6000	1	0.03295445442199707
44	MergeThree	6000	1	0.035796403884887695
45	MergeOPT	6000	1	0.03573346138000488
46	quicksortIterativo	6000	1	0.03263664245605469
47	Quicksort	6000	1	4.262217044830322
48	RdmQuicksort	6000	1	0.02599358558654785
49	MergeSort	6000	2	0.035942792892456055
50	MergeIterativo	6000	2	0.032884836196899414
51	MergeThree	6000	2	0.03579592704772949
52	MergeOPT	6000	2	0.035619497299194336
53	quicksortIterativo	6000	2	0.030333757400512695
54	Quicksort	6000	2	4.080947637557983
55	RdmQuicksort	6000	2	0.026009082794189453
56	MergeSort	6000	3	0.0359041690826416
57	MergeIterativo	6000	3	0.032349348068237305
58	MergeThree	6000	3	0.03546738624572754
59	MergeOPT	6000	3	0.03723621368408203
60	quicksortIterativo	6000	3	0.032063961029052734
61	Quicksort	6000	3	4.080517053604126
62	RdmQuicksort	6000	3	0.025064945220947266
63	MergeSort	8000	1	0.04437136650085449
64	MergeIterativo	8000	1	0.045942068099975586
65	MergeThree	8000	1	0.04560971260070801
66	MergeOPT	8000	1	0.04427647590637207
67	quicksortIterativo	8000	1	0.04225969314575195
68	Quicksort	8000	1	7.491469621658325
69	RdmQuicksort	8000	1	0.03654766082763672
70	MergeSort	8000	2	0.044747114181518555
71	MergeIterativo	8000	2	0.04490399360656738
72	MergeThree	8000	2	0.04462623596191406
73	MergeOPT	8000	2	0.044719696044921875
74	quicksortIterativo	8000	2	0.041741132736206055
75	Quicksort	8000	2	7.3730247020721436
76	RdmQuicksort	8000	2	0.03673505783081055
77	MergeSort	8000	3	0.04441642761230469
78	MergeIterativo	8000	3	0.04457211494445801
79	MergeThree	8000	3	0.044069528579711914
80	MergeOPT	8000	3	0.04440617561340332
81	quicksortIterativo	8000	3	0.04204821586608887
82	Quicksort	8000	3	7.306906223297119
83	RdmQuicksort	8000	3	0.03692293167114258
84	MergeSort	10000	1	0.07692623138427734
85	MergeIterativo	10000	1	0.058908700942993164
86	MergeThree	10000	1	0.060089826583862305
87	MergeOPT	10000	1	0.06024789810180664
88	quicksortIterativo	10000	1	0.053395986557006836
89	Quicksort	10000	1	11.628478288650513
90	RdmQuicksort	10000	1	0.04387807846069336
91	MergeSort	10000	2	0.0686190128326416
92	MergeIterativo	10000	2	0.05805611610412598
93	MergeThree	10000	2	0.059561967849731445
94	MergeOPT	10000	2	0.0598299503326416
95	quicksortIterativo	10000	2	0.05278277397155762
96	Quicksort	10000	2	11.663728475570679
97	RdmQuicksort	10000	2	0.04536747932434082
98	MergeSort	10000	3	0.06411457061767578
99	MergeIterativo	10000	3	0.05887913703918457
100	MergeThree	10000	3	0.05966758728027344
101	MergeOPT	10000	3	0.060044288635253906
102	quicksortIterativo	10000	3	0.0534515380859375
103	Quicksort	10000	3	11.616174936294556
104	RdmQuicksort	10000	3	0.04409933090209961
