	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	MergeSort	2000	1	0.008509159088134766
1	MergeIterativo	2000	1	0.010692119598388672
2	MergeThree	2000	1	0.010261297225952148
3	MergeOPT	2000	1	0.009366035461425781
4	quicksortIterativo	2000	1	0.005882740020751953
5	Quicksort	2000	1	0.009195804595947266
6	RdmQuicksort	2000	1	0.012530326843261719
7	MergeSort	2000	2	0.007879257202148438
8	MergeIterativo	2000	2	0.010894775390625
9	MergeThree	2000	2	0.007754325866699219
10	MergeOPT	2000	2	0.007666826248168945
11	quicksortIterativo	2000	2	0.0051500797271728516
12	Quicksort	2000	2	0.00853419303894043
13	RdmQuicksort	2000	2	0.011677980422973633
14	MergeSort	2000	3	0.007735490798950195
15	MergeIterativo	2000	3	0.010628938674926758
16	MergeThree	2000	3	0.007909297943115234
17	MergeOPT	2000	3	0.007652997970581055
18	quicksortIterativo	2000	3	0.004576206207275391
19	Quicksort	2000	3	0.00902700424194336
20	RdmQuicksort	2000	3	0.011969804763793945
21	MergeSort	4000	1	0.016409635543823242
22	MergeIterativo	4000	1	0.02324533462524414
23	MergeThree	4000	1	0.016210556030273438
24	MergeOPT	4000	1	0.016216278076171875
25	quicksortIterativo	4000	1	0.008862972259521484
26	Quicksort	4000	1	0.025718212127685547
27	RdmQuicksort	4000	1	0.03189873695373535
28	MergeSort	4000	2	0.016251802444458008
29	MergeIterativo	4000	2	0.023264646530151367
30	MergeThree	4000	2	0.01627802848815918
31	MergeOPT	4000	2	0.016396284103393555
32	quicksortIterativo	4000	2	0.009651660919189453
33	Quicksort	4000	2	0.02562999725341797
34	RdmQuicksort	4000	2	0.032758474349975586
35	MergeSort	4000	3	0.016337156295776367
36	MergeIterativo	4000	3	0.02343153953552246
37	MergeThree	4000	3	0.016231298446655273
38	MergeOPT	4000	3	0.02081441879272461
39	quicksortIterativo	4000	3	0.009732961654663086
40	Quicksort	4000	3	0.02631831169128418
41	RdmQuicksort	4000	3	0.033351898193359375
42	MergeSort	6000	1	0.028357505798339844
43	MergeIterativo	6000	1	0.03679823875427246
44	MergeThree	6000	1	0.027840614318847656
45	MergeOPT	6000	1	0.027820825576782227
46	quicksortIterativo	6000	1	0.014763832092285156
47	Quicksort	6000	1	0.05083727836608887
48	RdmQuicksort	6000	1	0.05963253974914551
49	MergeSort	6000	2	0.02810811996459961
50	MergeIterativo	6000	2	0.03654026985168457
51	MergeThree	6000	2	0.030436277389526367
52	MergeOPT	6000	2	0.02878594398498535
53	quicksortIterativo	6000	2	0.021210193634033203
54	Quicksort	6000	2	0.05090618133544922
55	RdmQuicksort	6000	2	0.06478524208068848
56	MergeSort	6000	3	0.028258323669433594
57	MergeIterativo	6000	3	0.03677487373352051
58	MergeThree	6000	3	0.028631210327148438
59	MergeOPT	6000	3	0.03151297569274902
60	quicksortIterativo	6000	3	0.01536250114440918
61	Quicksort	6000	3	0.053000450134277344
62	RdmQuicksort	6000	3	0.06213545799255371
63	MergeSort	8000	1	0.036055564880371094
64	MergeIterativo	8000	1	0.05104708671569824
65	MergeThree	8000	1	0.03441143035888672
66	MergeOPT	8000	1	0.034792184829711914
67	quicksortIterativo	8000	1	0.020876169204711914
68	Quicksort	8000	1	0.08780694007873535
69	RdmQuicksort	8000	1	0.10171866416931152
70	MergeSort	8000	2	0.035030364990234375
71	MergeIterativo	8000	2	0.050676822662353516
72	MergeThree	8000	2	0.034661293029785156
73	MergeOPT	8000	2	0.03458595275878906
74	quicksortIterativo	8000	2	0.02196335792541504
75	Quicksort	8000	2	0.0883188247680664
76	RdmQuicksort	8000	2	0.10262155532836914
77	MergeSort	8000	3	0.034715890884399414
78	MergeIterativo	8000	3	0.05046820640563965
79	MergeThree	8000	3	0.03444790840148926
80	MergeOPT	8000	3	0.03445577621459961
81	quicksortIterativo	8000	3	0.022233009338378906
82	Quicksort	8000	3	0.0880887508392334
83	RdmQuicksort	8000	3	0.09938311576843262
84	MergeSort	10000	1	0.04653573036193848
85	MergeIterativo	10000	1	0.06596493721008301
86	MergeThree	10000	1	0.04679560661315918
87	MergeOPT	10000	1	0.04614830017089844
88	quicksortIterativo	10000	1	0.023716449737548828
89	Quicksort	10000	1	0.12617754936218262
90	RdmQuicksort	10000	1	0.1570274829864502
91	MergeSort	10000	2	0.045976877212524414
92	MergeIterativo	10000	2	0.0655815601348877
93	MergeThree	10000	2	0.04605841636657715
94	MergeOPT	10000	2	0.045786142349243164
95	quicksortIterativo	10000	2	0.023247957229614258
96	Quicksort	10000	2	0.12956476211547852
97	RdmQuicksort	10000	2	0.14678382873535156
98	MergeSort	10000	3	0.04648733139038086
99	MergeIterativo	10000	3	0.06554317474365234
100	MergeThree	10000	3	0.04580569267272949
101	MergeOPT	10000	3	0.0457150936126709
102	quicksortIterativo	10000	3	0.028635025024414062
103	Quicksort	10000	3	0.1287059783935547
104	RdmQuicksort	10000	3	0.15191650390625
