	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	MergeSort	2000	1	0.010711193084716797
1	MergeIterativo	2000	1	0.01170969009399414
2	MergeThree	2000	1	0.009926795959472656
3	MergeOPT	2000	1	0.009957075119018555
4	quicksortIterativo	2000	1	0.012244462966918945
5	Quicksort	2000	1	0.0054302215576171875
6	RdmQuicksort	2000	1	0.007978439331054688
7	MergeSort	2000	2	0.010041952133178711
8	MergeIterativo	2000	2	0.011162757873535156
9	MergeThree	2000	2	0.009991884231567383
10	MergeOPT	2000	2	0.009847640991210938
11	quicksortIterativo	2000	2	0.011794090270996094
12	Quicksort	2000	2	0.00529932975769043
13	RdmQuicksort	2000	2	0.007959604263305664
14	MergeSort	2000	3	0.01002955436706543
15	MergeIterativo	2000	3	0.011343717575073242
16	MergeThree	2000	3	0.009792089462280273
17	MergeOPT	2000	3	0.010042667388916016
18	quicksortIterativo	2000	3	0.01128840446472168
19	Quicksort	2000	3	0.0054912567138671875
20	RdmQuicksort	2000	3	0.00776219367980957
21	MergeSort	4000	1	0.020847320556640625
22	MergeIterativo	4000	1	0.024579524993896484
23	MergeThree	4000	1	0.020840883255004883
24	MergeOPT	4000	1	0.020825862884521484
25	quicksortIterativo	4000	1	0.026465177536010742
26	Quicksort	4000	1	0.011533737182617188
27	RdmQuicksort	4000	1	0.01624274253845215
28	MergeSort	4000	2	0.020807743072509766
29	MergeIterativo	4000	2	0.02454090118408203
30	MergeThree	4000	2	0.023794889450073242
31	MergeOPT	4000	2	0.02111339569091797
32	quicksortIterativo	4000	2	0.024394989013671875
33	Quicksort	4000	2	0.011644124984741211
34	RdmQuicksort	4000	2	0.0164034366607666
35	MergeSort	4000	3	0.021030664443969727
36	MergeIterativo	4000	3	0.024399280548095703
37	MergeThree	4000	3	0.020845890045166016
38	MergeOPT	4000	3	0.021107912063598633
39	quicksortIterativo	4000	3	0.026544809341430664
40	Quicksort	4000	3	0.012621879577636719
41	RdmQuicksort	4000	3	0.01793217658996582
42	MergeSort	6000	1	0.03560829162597656
43	MergeIterativo	6000	1	0.0390324592590332
44	MergeThree	6000	1	0.03564262390136719
45	MergeOPT	6000	1	0.035710811614990234
46	quicksortIterativo	6000	1	0.037735700607299805
47	Quicksort	6000	1	0.01968836784362793
48	RdmQuicksort	6000	1	0.028157711029052734
49	MergeSort	6000	2	0.037589073181152344
50	MergeIterativo	6000	2	0.03856801986694336
51	MergeThree	6000	2	0.03585314750671387
52	MergeOPT	6000	2	0.03578329086303711
53	quicksortIterativo	6000	2	0.03996896743774414
54	Quicksort	6000	2	0.017906904220581055
55	RdmQuicksort	6000	2	0.0261383056640625
56	MergeSort	6000	3	0.03598618507385254
57	MergeIterativo	6000	3	0.03913521766662598
58	MergeThree	6000	3	0.035584211349487305
59	MergeOPT	6000	3	0.03583931922912598
60	quicksortIterativo	6000	3	0.03969573974609375
61	Quicksort	6000	3	0.019077062606811523
62	RdmQuicksort	6000	3	0.026140451431274414
63	MergeSort	8000	1	0.04389834403991699
64	MergeIterativo	8000	1	0.05307602882385254
65	MergeThree	8000	1	0.043816328048706055
66	MergeOPT	8000	1	0.044068336486816406
67	quicksortIterativo	8000	1	0.053183555603027344
68	Quicksort	8000	1	0.026022911071777344
69	RdmQuicksort	8000	1	0.03410482406616211
70	MergeSort	8000	2	0.044060707092285156
71	MergeIterativo	8000	2	0.0531773567199707
72	MergeThree	8000	2	0.044036149978637695
73	MergeOPT	8000	2	0.04400324821472168
74	quicksortIterativo	8000	2	0.05281662940979004
75	Quicksort	8000	2	0.025684356689453125
76	RdmQuicksort	8000	2	0.037529945373535156
77	MergeSort	8000	3	0.04411745071411133
78	MergeIterativo	8000	3	0.052342891693115234
79	MergeThree	8000	3	0.04384112358093262
80	MergeOPT	8000	3	0.043811798095703125
81	quicksortIterativo	8000	3	0.055135250091552734
82	Quicksort	8000	3	0.02513265609741211
83	RdmQuicksort	8000	3	0.03522348403930664
84	MergeSort	10000	1	0.06300997734069824
85	MergeIterativo	10000	1	0.06890130043029785
86	MergeThree	10000	1	0.0587005615234375
87	MergeOPT	10000	1	0.0587306022644043
88	quicksortIterativo	10000	1	0.0689389705657959
89	Quicksort	10000	1	0.031539201736450195
90	RdmQuicksort	10000	1	0.05107522010803223
91	MergeSort	10000	2	0.05913543701171875
92	MergeIterativo	10000	2	0.06978988647460938
93	MergeThree	10000	2	0.06111741065979004
94	MergeOPT	10000	2	0.05907320976257324
95	quicksortIterativo	10000	2	0.0700218677520752
96	Quicksort	10000	2	0.0327303409576416
97	RdmQuicksort	10000	2	0.04562211036682129
98	MergeSort	10000	3	0.058747053146362305
99	MergeIterativo	10000	3	0.06892919540405273
100	MergeThree	10000	3	0.06213736534118652
101	MergeOPT	10000	3	0.058919429779052734
102	quicksortIterativo	10000	3	0.0715339183807373
103	Quicksort	10000	3	0.03715252876281738
104	RdmQuicksort	10000	3	0.04543447494506836
