	Algoritmos	Num. de elementos	Intento	Tiempo(seg)
0	MergeSort	2000	1	0.008385419845581055
1	MergeIterativo	2000	1	0.009968996047973633
2	MergeThree	2000	1	0.008100748062133789
3	MergeOPT	2000	1	0.007942914962768555
4	quicksortIterativo	2000	1	0.0008771419525146484
5	Quicksort	2000	1	0.20406317710876465
6	RdmQuicksort	2000	1	0.20986151695251465
7	MergeSort	2000	2	0.00787806510925293
8	MergeIterativo	2000	2	0.009915351867675781
9	MergeThree	2000	2	0.007909059524536133
10	MergeOPT	2000	2	0.0076160430908203125
11	quicksortIterativo	2000	2	0.0009391307830810547
12	Quicksort	2000	2	0.20864129066467285
13	RdmQuicksort	2000	2	0.20929932594299316
14	MergeSort	2000	3	0.007833242416381836
15	MergeIterativo	2000	3	0.009995698928833008
16	MergeThree	2000	3	0.0077915191650390625
17	MergeOPT	2000	3	0.00767064094543457
18	quicksortIterativo	2000	3	0.0008866786956787109
19	Quicksort	2000	3	0.3433263301849365
20	RdmQuicksort	2000	3	0.21925902366638184
21	MergeSort	4000	1	0.01625657081604004
22	MergeIterativo	4000	1	0.021645545959472656
23	MergeThree	4000	1	0.016337156295776367
24	MergeOPT	4000	1	0.016391277313232422
25	quicksortIterativo	4000	1	0.0017771720886230469
26	Quicksort	4000	1	0.9610397815704346
27	RdmQuicksort	4000	1	0.835521936416626
28	MergeSort	4000	2	0.016229629516601562
29	MergeIterativo	4000	2	0.021616458892822266
30	MergeThree	4000	2	0.01621866226196289
31	MergeOPT	4000	2	0.016155481338500977
32	quicksortIterativo	4000	2	0.001756429672241211
33	Quicksort	4000	2	0.834014892578125
34	RdmQuicksort	4000	2	0.8422014713287354
35	MergeSort	4000	3	0.016284704208374023
36	MergeIterativo	4000	3	0.021547317504882812
37	MergeThree	4000	3	0.01625537872314453
38	MergeOPT	4000	3	0.016221284866333008
39	quicksortIterativo	4000	3	0.001886606216430664
40	Quicksort	4000	3	0.8360030651092529
41	RdmQuicksort	4000	3	1.1237666606903076
42	MergeSort	6000	1	0.02769160270690918
43	MergeIterativo	6000	1	0.035024404525756836
44	MergeThree	6000	1	0.027816295623779297
45	MergeOPT	6000	1	0.027392864227294922
46	quicksortIterativo	6000	1	0.002687692642211914
47	Quicksort	6000	1	1.8707458972930908
48	RdmQuicksort	6000	1	1.8911476135253906
49	MergeSort	6000	2	0.02761387825012207
50	MergeIterativo	6000	2	0.03435230255126953
51	MergeThree	6000	2	0.027738571166992188
52	MergeOPT	6000	2	0.0276339054107666
53	quicksortIterativo	6000	2	0.0027921199798583984
54	Quicksort	6000	2	2.0108795166015625
55	RdmQuicksort	6000	2	1.8980083465576172
56	MergeSort	6000	3	0.02755451202392578
57	MergeIterativo	6000	3	0.03420233726501465
58	MergeThree	6000	3	0.027390003204345703
59	MergeOPT	6000	3	0.027642011642456055
60	quicksortIterativo	6000	3	0.002655506134033203
61	Quicksort	6000	3	1.9918913841247559
62	RdmQuicksort	6000	3	1.8826851844787598
63	MergeSort	8000	1	0.0337371826171875
64	MergeIterativo	8000	1	0.04637861251831055
65	MergeThree	8000	1	0.0337674617767334
66	MergeOPT	8000	1	0.03368234634399414
67	quicksortIterativo	8000	1	0.003713369369506836
68	Quicksort	8000	1	3.3259222507476807
69	RdmQuicksort	8000	1	3.3315916061401367
70	MergeSort	8000	2	0.033524274826049805
71	MergeIterativo	8000	2	0.04648542404174805
72	MergeThree	8000	2	0.03644609451293945
73	MergeOPT	8000	2	0.03815913200378418
74	quicksortIterativo	8000	2	0.003932952880859375
75	Quicksort	8000	2	3.3108296394348145
76	RdmQuicksort	8000	2	3.498310089111328
77	MergeSort	8000	3	0.03360795974731445
78	MergeIterativo	8000	3	0.046332359313964844
79	MergeThree	8000	3	0.03369402885437012
80	MergeOPT	8000	3	0.034316301345825195
81	quicksortIterativo	8000	3	0.003744840621948242
82	Quicksort	8000	3	3.3137519359588623
83	RdmQuicksort	8000	3	3.3348445892333984
84	MergeSort	10000	1	0.04478955268859863
85	MergeIterativo	10000	1	0.060491085052490234
86	MergeThree	10000	1	0.044673919677734375
87	MergeOPT	10000	1	0.04471182823181152
88	quicksortIterativo	10000	1	0.004459857940673828
89	Quicksort	10000	1	5.178579568862915
90	RdmQuicksort	10000	1	5.208265066146851
91	MergeSort	10000	2	0.04503440856933594
92	MergeIterativo	10000	2	0.060610055923461914
93	MergeThree	10000	2	0.045030832290649414
94	MergeOPT	10000	2	0.04510784149169922
95	quicksortIterativo	10000	2	0.004414558410644531
96	Quicksort	10000	2	5.18773078918457
97	RdmQuicksort	10000	2	5.208009719848633
98	MergeSort	10000	3	0.04512810707092285
99	MergeIterativo	10000	3	0.060523033142089844
100	MergeThree	10000	3	0.04533863067626953
101	MergeOPT	10000	3	0.047246456146240234
102	quicksortIterativo	10000	3	0.004854679107666016
103	Quicksort	10000	3	5.238764524459839
104	RdmQuicksort	10000	3	5.335119247436523
